名称,别名,发行日期,地址,封面地址,收藏日期,我的评分,标签,吐槽,其它信息
化物语,化物語,2009-07-03,https://bangumi.tv/subject/1671,//lain.bgm.tv/pic/cover/l/64/7c/1671_vQ2W9.jpg,2021-5-24,,,"","15话 /  2009年7月3日 / 新房昭之 / 西尾維新「化物語」（講談社BOX） / 渡辺明夫"
虫师 续章 第2期,蟲師 続章 第2クール,2014-10-18,https://bangumi.tv/subject/106207,//lain.bgm.tv/pic/cover/l/9c/c7/106207_z8288.jpg,2021-5-12,,,"","10话 /  2014年10月18日 / 長濵博史 / 漆原友紀 / 馬越嘉彦"
虫师 特别篇 铃之雫,蟲師 特別編「鈴の雫」,2015-05-16,https://bangumi.tv/subject/120700,//lain.bgm.tv/pic/cover/l/3d/55/120700_ae3wr.jpg,2021-5-12,,,"","1话 /  2015年5月16日 / 長濵博史 / 漆原友紀 / 馬越嘉彦"
水果篮子 第二季,フルーツバスケット 2nd season,2020-04-06,https://bangumi.tv/subject/291039,//lain.bgm.tv/pic/cover/l/c7/17/291039_gGN89.jpg,2021-4-8,,,"","25话 /  2020年4月6日 / 井端義秀 / 高屋奈月「フルーツバスケット」（白泉社・花とゆめCOMICS） / 進藤優"
为美好的世界献上祝福！,この素晴らしい世界に祝福を！,2016-01-13,https://bangumi.tv/subject/135275,//lain.bgm.tv/pic/cover/l/56/de/135275_G3liq.jpg,2021-5-9,,,"","10话 /  2016年1月13日 / 金﨑貴臣 / 暁なつめ / 菊田幸一"
此花绮谭,このはな綺譚,2017-10-04,https://bangumi.tv/subject/211934,//lain.bgm.tv/pic/cover/l/ab/fd/211934_HHeOH.jpg,2021-5-9,,,"","12话 /  2017年10月4日 / 岡本英樹 / 天乃咲哉（月刊バーズ・幻冬舎コミックス刊） / 黒澤桂子"
花开伊吕波,花咲くいろは,2011-04-03,https://bangumi.tv/subject/22759,//lain.bgm.tv/pic/cover/l/56/2d/22759_p1rJ8.jpg,2021-4-3,,,"","26话 /  2011年4月3日 / 安藤真裕 / P.A.WORKS"
Re：从零开始的异世界生活 第二季 后半部分,Re:ゼロから始める異世界生活 2nd season 後半クール,2021-01-06,https://bangumi.tv/subject/316247,//lain.bgm.tv/pic/cover/l/aa/64/316247_Yd3F5.jpg,2021-5-19,,,"","12话 /  2021年1月6日 / 渡邊政治 / 長月達平（MF文庫J『Re:ゼロから始める異世界生活』/KADOKAWA刊）"
