名称,别名,发行日期,地址,封面地址,收藏日期,我的评分,标签,吐槽,其它信息
干物妹！小埋R,干物妹! うまるちゃんR,2017-10-08,https://bgm.tv/subject/212775,//lain.bgm.tv/pic/cover/l/27/da/212775_as9It.jpg,2021-4-3,6,,"","12话 / 2017年10月8日 / 太田雅彦 / サンカクヘッド / 高野綾"
干物妹！小埋 OAD,干物妹! うまるちゃん OAD,2015-10-19,https://bgm.tv/subject/137063,//lain.bgm.tv/pic/cover/l/ad/d6/137063_dm9UL.jpg,2021-4-3,6,,"","2话 / 2015年10月19日 / 太田雅彦 / サンカクヘッド / 高野綾"
干物妹！小埋,干物妹! うまるちゃん,2015-07-08,https://bgm.tv/subject/120187,//lain.bgm.tv/pic/cover/l/41/2c/120187_nXjYb.jpg,2021-4-3,,,"","12话 / 2015年7月8日 / 太田雅彦 / サンカクヘッド / 高野綾"
言叶之庭,言の葉の庭,2013-05-31,https://bgm.tv/subject/58949,//lain.bgm.tv/pic/cover/l/bc/43/58949_rCnOB.jpg,2021-4-3,7,,"","1话 / 2013年5月31日 / 新海誠 / 新海誠 / 土屋堅一"
剧场版 魔法少女小圆 [新篇] 叛逆的物语,劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,2013-10-26,https://bgm.tv/subject/44693,//lain.bgm.tv/pic/cover/l/31/1c/44693_YS9kU.jpg,2021-4-3,9,,"","1话 / 2013年10月26日 / 宮本幸裕 / Magica Quartet / 岸田隆宏、谷口淳一郎"
魔法少女小圆,魔法少女まどか☆マギカ,2011-01-07,https://bgm.tv/subject/9717,//lain.bgm.tv/pic/cover/l/cb/57/9717_sAVag.jpg,2021-4-3,8,,"","12话 / 2011年1月7日 / 新房昭之 / Magica Quartet / 岸田隆宏"
奇诺之旅,キノの旅 -the Beautiful World- the Animated Series,2017-10-06,https://bgm.tv/subject/211068,//lain.bgm.tv/pic/cover/l/47/df/211068_49qlq.jpg,2021-4-3,,,"","12话 / 2017年10月6日 / 田口智久 / 時雨沢恵一（電撃文庫刊） / アミサキリョウコ(網嵜涼子)"
魔女之旅,魔女の旅々,2020-10-02,https://bgm.tv/subject/292970,//lain.bgm.tv/pic/cover/l/99/17/292970_mxMxx.jpg,2021-4-3,6,,"","12话 / 2020年10月2日 / 窪岡俊之 / 白石定規（GAノベル／SBクリエイティブ刊） / 小田武士"
Re：从零开始的异世界生活 第二季,Re:ゼロから始める異世界生活 2nd season,2020-07-08,https://bgm.tv/subject/278826,//lain.bgm.tv/pic/cover/l/16/79/278826_w85gd.jpg,2021-4-3,,,"","13话 / 2020年7月8日 / 渡邊政治 / 長月達平 / 坂井久太"
Re：从零开始的异世界生活 Memory Snow,Re:ゼロから始める異世界生活 Memory Snow,2018-10-06,https://bgm.tv/subject/225462,//lain.bgm.tv/pic/cover/l/12/61/225462_e8o8p.jpg,2021-4-3,6,,"","1话 / 2018年10月6日 / 渡邊政治 / 長月達平 / 坂井久太"
Re：从零开始的异世界生活 冰结之绊,Re:ゼロから始める異世界生活 氷結の絆,2019-11-08,https://bgm.tv/subject/261805,//lain.bgm.tv/pic/cover/l/29/f6/261805_F7dH7.jpg,2021-4-3,,,"","1话 / 2019年11月8日 / 渡邊政治 / 長月達平 / 坂井久太"
Re：从零开始的异世界生活,Re:ゼロから始める異世界生活,2016-04-03,https://bgm.tv/subject/140001,//lain.bgm.tv/pic/cover/l/cb/78/140001_Ew1mo.jpg,2021-4-3,,,"","25话 / 2016年4月3日 / 渡邊政治 / 長月達平 / 坂井久太"
GOSICK,GOSICK -ゴシック-,2011-01-07,https://bgm.tv/subject/9781,//lain.bgm.tv/pic/cover/l/9d/3d/9781_Kkik8.jpg,2021-4-3,7,,"","24话 / 2011年1月7日 / 難波日登志 / 桜庭一樹 / 川元利浩・富岡隆司"
ID:INVADED,ID:INVADED イド：インヴェイデッド,2020-01-05,https://bgm.tv/subject/285776,//lain.bgm.tv/pic/cover/l/73/90/285776_57c5p.jpg,2021-4-3,7,,"","13话 / 2020年1月5日 / あおきえい / The Detectives United / 碇谷敦"
我们仍未知道那天所看见的花的名字。,あの日見た花の名前を僕達はまだ知らない。,2011-04-14,https://bgm.tv/subject/10440,//lain.bgm.tv/pic/cover/l/6c/e8/10440_8HP6O.jpg,2021-4-3,7,,"","11话 / 2011年4月14日 / 超平和バスターズ"
东京喰种,東京喰種トーキョーグール,2014-07-03,https://bgm.tv/subject/93714,//lain.bgm.tv/pic/cover/l/12/ab/93714_r1U22.jpg,2021-4-3,6,,"","12话 / 2014年7月3日 / 石田スイ"
缘之空,ヨスガノソラ,2010-10-04,https://bgm.tv/subject/7157,//lain.bgm.tv/pic/cover/l/6e/01/7157_QV8Rz.jpg,2021-4-3,5,,"","12话 / 2010年10月4日 / 高橋丈夫 / Sphere / 神本兼利"
狼与香辛料,狼と香辛料,2008-01-08,https://bgm.tv/subject/282,//lain.bgm.tv/pic/cover/l/6a/9a/282_4X4ZF.jpg,2021-4-3,8,,"","13话 / 2008年1月8日 / 高橋丈夫 / 支倉凍砂"
狼与香辛料 第二季,狼と香辛料II,2009-07-08,https://bgm.tv/subject/1512,//lain.bgm.tv/pic/cover/l/0f/3d/1512_1HCN1.jpg,2021-4-3,7,,"","13话 / 2009年7月8日 / 高橋丈夫 / 支倉凍砂 / 小林利充"
来自多彩世界的明天,色づく世界の明日から,2018-10-05,https://bgm.tv/subject/240562,//lain.bgm.tv/pic/cover/l/53/f0/240562_1Ce5Q.jpg,2021-4-3,7,,"","13话 / 2018年10月5日 / 篠原俊哉 / ヤシオ・ナツカ / 秋山有希"
来自风平浪静的明天,凪のあすから,2013-10-03,https://bgm.tv/subject/47889,//lain.bgm.tv/pic/cover/l/16/29/47889_gZy58.jpg,2021-4-3,8,,"","26话 / 2013年10月3日 / 篠原俊哉 / Project-118 / 石井百合子"
CLANNAD ～AFTER STORY～,,2008-10-02,https://bgm.tv/subject/876,//lain.bgm.tv/pic/cover/l/67/d1/876_dCfrd.jpg,2021-4-3,10,,"","24话 / 2008年10月2日 / 石原立也 / Key/Visual Art's / 池田和美"
CLANNAD 剧场版,劇場版 CLANNAD,2007-09-15,https://bgm.tv/subject/3686,//lain.bgm.tv/pic/cover/l/dc/72/3686_UU9ge.jpg,2021-4-3,,,"","1话 / 2007年9月15日 / 出﨑統 / Key/Visual Art's / 門之園恵美"
CLANNAD,CLANNAD -クラナド-,2007-10-04,https://bgm.tv/subject/51,//lain.bgm.tv/pic/cover/l/28/38/51_z0Ly8.jpg,2021-4-3,8,,"","23话 / 2007年10月4日 / 石原立也 / Key/Visual Art's / 池田和美"
CLANNAD ～AFTER STORY～另一个世界 杏篇,CLANNAD ～AFTER STORY～もうひとつの世界 杏編,2009-05-24,https://bgm.tv/subject/37874,//lain.bgm.tv/pic/cover/l/39/66/37874_qB06C.jpg,2021-4-3,,,"","1话 / 2009年5月24日 / 石原立也 / Key/Visual Art's / 池田和美"
CLANNAD 另一个世界 智代篇,CLANNAD もうひとつの世界 智代編,2008-07-16,https://bgm.tv/subject/37873,//lain.bgm.tv/pic/cover/l/7f/ec/37873_ZyP2G.jpg,2021-4-3,,,"","1话 / 2008年7月16日 / 石原立也 / Key/Visual Art's / 池田和美"
魔法使的新娘 等待繁星之人,魔法使いの嫁 星待つひと,2016-09-10,https://bgm.tv/subject/172518,//lain.bgm.tv/pic/cover/l/10/c7/172518_derKh.jpg,2021-4-3,7,,"","3话 / 2016年9月10日 / ヤマザキコレ（マッグガーデン刊）"
魔法使的新娘,魔法使いの嫁,2017-10-07,https://bgm.tv/subject/210864,//lain.bgm.tv/pic/cover/l/7c/ba/210864_XHHsK.jpg,2021-4-3,8,,"","24话 / 2017年10月7日 / ヤマザキコレ"
