名称,别名,发行日期,地址,封面地址,收藏日期,我的评分,标签,吐槽,其它信息
异世界四重奏2,異世界かるてっと 2,2020-01-14,https://bgm.tv/subject/285422,//lain.bgm.tv/pic/cover/l/d5/0b/285422_2p3Zf.jpg,2021-6-11,,,"","12话 / 2020年1月14日"
少女终末旅行,少女終末旅行,2017-10-06,https://bgm.tv/subject/218707,//lain.bgm.tv/pic/cover/l/c5/8b/218707_DBmO2.jpg,2021-6-3,,,"","12话 / 2017年10月6日 / 尾崎隆晴 / つくみず（新潮社「くらげバンチ」連載） / 戸田麻衣"
化物语,化物語,2009-07-03,https://bgm.tv/subject/1671,//lain.bgm.tv/pic/cover/l/64/7c/1671_vQ2W9.jpg,2021-5-24,,,"","15话 / 2009年7月3日 / 新房昭之 / 西尾維新「化物語」（講談社BOX） / 渡辺明夫"
水果篮子 第二季,フルーツバスケット 2nd season,2020-04-06,https://bgm.tv/subject/291039,//lain.bgm.tv/pic/cover/l/c7/17/291039_gGN89.jpg,2021-4-8,,,"","25话 / 2020年4月6日 / 井端義秀 / 高屋奈月「フルーツバスケット」（白泉社・花とゆめCOMICS） / 進藤優"
此花绮谭,このはな綺譚,2017-10-04,https://bgm.tv/subject/211934,//lain.bgm.tv/pic/cover/l/ab/fd/211934_HHeOH.jpg,2021-5-9,,,"","12话 / 2017年10月4日 / 岡本英樹 / 天乃咲哉（月刊バーズ・幻冬舎コミックス刊） / 黒澤桂子"
花开伊吕波,花咲くいろは,2011-04-03,https://bgm.tv/subject/22759,//lain.bgm.tv/pic/cover/l/56/2d/22759_p1rJ8.jpg,2021-4-3,,,"","26话 / 2011年4月3日 / 安藤真裕 / P.A.WORKS"
