名称,别名,发行日期,地址,封面地址,收藏日期,我的评分,标签,吐槽,其它信息
约定的梦幻岛,約束のネバーランド,2019-01-10,https://bangumi.tv/subject/243916,//lain.bgm.tv/pic/cover/l/ff/49/243916_XXJsd.jpg,2021-4-3,,,"","12话 /  2019年1月10日 / 神戸守 / 白井カイウ・出水ぽすか（集英社「週刊少年ジャンプ」連載） / 嶋田和晃"
异国迷宫的十字路口,異国迷路のクロワーゼ The Animation,2011-07-03,https://bangumi.tv/subject/10261,//lain.bgm.tv/pic/cover/l/78/4a/10261_WyDvw.jpg,2021-4-3,,,"","13话 /  2011年7月3日"
妖精森林的小不点,ハクメイとミコチ,2018-01-12,https://bangumi.tv/subject/221726,//lain.bgm.tv/pic/cover/l/7f/25/221726_3J2ko.jpg,2021-4-3,,,"","13话 /  2018年1月12日"
索玛丽与森林之神,ソマリと森の神様,2020-01-09,https://bangumi.tv/subject/278670,//lain.bgm.tv/pic/cover/l/10/9f/278670_7nTD7.jpg,2021-4-3,,,"","12话 /  2020年1月9日 / 安田賢司 / 暮石ヤコ『ソマリと森の神様』 (「WEBコミックぜにょん」連載/ノース・スターズ・ピクチャーズ) / 伊藤郁子"
乌冬面之国的金色毛毬,うどんの国の金色毛鞠,2016-10-08,https://bangumi.tv/subject/168417,//lain.bgm.tv/pic/cover/l/57/c6/168417_xSxkd.jpg,2021-4-3,,,"","12话 /  2016年10月8日"
重启咲良田,サクラダリセット,2017-04-05,https://bangumi.tv/subject/193378,//lain.bgm.tv/pic/cover/l/b1/c7/193378_KgztF.jpg,2021-4-3,,,"","24话 /  2017年4月5日 / 川面真也 / 河野裕 「サクラダリセット」シリーズ（角川文庫/角川スニーカー文庫） / 下谷智之"
吹响！悠风号,響け！ユーフォニアム,2015-04-07,https://bangumi.tv/subject/115908,//lain.bgm.tv/pic/cover/l/37/df/115908_c0uQj.jpg,2021-4-3,,,"","14话 /  2015年4月7日 / 石原立也 / 武田綾乃（宝島社文庫「響け！ユーフォニアム」シリーズ） / 池田晶子"
水果篮子 最终季,フルーツバスケット The Final,2021-04-05,https://bangumi.tv/subject/315516,//lain.bgm.tv/pic/cover/l/d5/a0/315516_ODKBM.jpg,2021-4-3,,,"","13话 /  2021年4月5日 / 井端義秀 / 高屋奈月「フルーツバスケット」（白泉社・花とゆめCOMICS） / 進藤優"
夏目友人帐,夏目友人帳,2008-07-07,https://bangumi.tv/subject/259,//lain.bgm.tv/pic/cover/l/cf/a0/259_BlBeX.jpg,2021-4-3,,,"","13话 /  2008年7月7日 / 大森貴弘 / 緑川ゆき"
小林家的龙女仆S,小林さんちのメイドラゴンS,,https://bangumi.tv/subject/274234,//lain.bgm.tv/pic/cover/l/17/ed/274234_7SjVS.jpg,2021-4-3,,,"","2021年7月 / 石原立也 / クール教信者（双葉社「月刊アクション」連載） / 門脇未来"
魔法使的新娘 西之少年与青岚的骑士,魔法使いの嫁 西の少年と青嵐の騎士,2021-09-10,https://bangumi.tv/subject/330394,//lain.bgm.tv/pic/cover/l/f3/fc/330394_3FtE7.jpg,2021-4-3,,,"","3话 /  2021年9月10日 / 寺澤和晃 / ヤマザキコレ「魔法使いの嫁」（ブレイドコミックス / マッグガーデン刊）"
